NOME,BAIRRO,ENDERECO,CULINARIA,endereco_completo,latitude,longitude,estrelas
Absurda Confeitaria,Jardim Botânico," Rua Pacheco Leão, 792",Confeitaria,"Rua Pacheco Leão, Rio de Janeiro, Brazil",-22.166129,-43.5809666,1
Gringo Café,Ipanema," Rua Barão da Torre, 240",Brunch,"Rua Barão da Torre, Rio de Janeiro, Brazil",-22.6270971,-42.0044768,1
Confeitaria Colombo,Centro,"Rua Gonçalves Dias, 32 ",Confeitaria,"Rua Gonçalves Dias, Rio de Janeiro, Brazil",-22.5206601,-43.1886648,1
Talho Capixaba ,Leblon," Av. Ataulfo de Paiva, 1022 ",Café da manhã e brunch,"Avenida Ataulfo de Paiva, Rio de Janeiro, Brazil",-22.9848391,-43.2250261,1
P.OVO,Ipanema ," Rua Visconde de Pirajá, 437 ",Lanche,"Rua Visconde de Pirajá, Rio de Janeiro, Brazil",-22.9837404,-43.214208,4
Empório Jardim,Ipanema ,"Rua Maria Quitéria, 62 ",Café da manhã,"Rua Maria Quitéria, Rio de Janeiro, Brazil",-22.8254531,-43.0767814,3
Abry Bar & Restô,Barra da Tijuca,"Av. das Américas, 8585. Barra da TijucaRio de Janeiro",Brasileira,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,3
Aconchego Carioca (Bandeira),Praça da Bandeira,"Rua Barão de Iguatemi, 245. Praça da BandeiraRio de Janeiro",Brasileira,"Rua Barão de Iguatemi, Rio de Janeiro, Brazil",-22.9122461,-43.2133084,1
Adega do Pimenta,Santa Teresa,"Rua Almirante Alexandrino, 296 - B. Santa TeresaRio de Janeiro",Alemã,"Rua Almirante Alexandrino, Rio de Janeiro, Brazil",-22.772237,-43.5576542,3
Allori Cucina & Bar,São Francisco,"Av. Quintino Bocaiúva, 301. São FranciscoNiterói",Italiana,"Avenida Quintino Bocaiúva, Rio de Janeiro, Brazil",-22.9208954,-43.094487,3
Alto Barra Beach Lounge,Barra de Guaratiba,"Estr. Roberto Burle Marx, 9600. Barra de GuaratibaRio de Janeiro",Frutos do Mar,"Estr. Roberto Burle Marx, Rio de Janeiro, Brazil",-23.069458,-43.567021,1
Amélie Crêperie et Bistrot (Barra Shopping),Barra da Tijuca,"Av. das Américas, 4.666. Barra da TijucaRio de Janeiro",Francesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,3
Amélie Crêperie et Bistrot (Botafogo Praia Shopping),Botafogo,"Praia de Botafogo, 400. BotafogoRio de Janeiro",Bistrô,"Praia de Botafogo, Rio de Janeiro, Brazil",-22.94540365,-43.18081801820892,5
Amélie Crêperie et Bistrot (Gávea),Gávea,"Rua Marquês de São Vicente, 52. GáveaRio de Janeiro",Francesa,"Rua Marquês de São Vicente, Rio de Janeiro, Brazil",-22.9094903,-42.7963923,2
Ary Delicatessen (Shopping Estação Itaipava),Itaipava,"Estr. União e Indústria, 11000. ItaipavaPetrópolis",Contemporânea,"Estr. União e Indústria, Rio de Janeiro, Brazil",-22.3451565,-43.1239477,2
Bar Urca,Urca,"Rua Cândido Gaffrée, 205. UrcaRio de Janeiro",Portuguesa,"Rua Cândido Gaffrée, Rio de Janeiro, Brazil",-22.947593,-43.1626468,1
Bar do Mumuzinho,Gávea,"Rua Marquês de São Vicente, 52. GáveaRio de Janeiro",Brasileira,"Rua Marquês de São Vicente, Rio de Janeiro, Brazil",-22.9094903,-42.7963923,4
Basha,Copacabana,"Av. Nossa Senhora de Copacabana, 198. CopacabanaRio de Janeiro",Libanesa,"Avenida Nossa Senhora de Copacabana, Rio de Janeiro, Brazil",-22.9679435,-43.1827662,1
Beer&Grill Legado Romani,Barra da Tijuca,"Av. das Américas, 7700. Barra da TijucaRio de Janeiro",Bar,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,4
Bistrô da Casa,Glória,"Ladeira da Glória, 98. GlóriaRio de Janeiro",Bistrô,"Ladeira da Glória, Rio de Janeiro, Brazil",-22.9222092,-43.1751759,2
Bonifácio & Berenice,Leblon,"Rua Rainha Guilhermina, 95. LeblonRio de Janeiro",Brasileira,"Rua Rainha Guilhermina, Rio de Janeiro, Brazil",-22.9833238,-43.2279754,1
Boteco Colarinho (Botafogo),Botafogo,"Rua Nelson Mandela, 100. BotafogoRio de Janeiro",Brasileira,"Rua Nelson Mandela, Rio de Janeiro, Brazil",-22.6958353,-43.5141434,5
Boteco Colarinho (Copacabana),Copacabana,"Rua Francisco Otaviano, 30. CopacabanaRio de Janeiro",Brasileira,"Rua Francisco Otaviano, Rio de Janeiro, Brazil",-22.8883591,-43.0018079,3
Boteco do Xopin,Tijuca,"Rua Yeda, 512. TijucaTeresópolis",Bar,"Rua Yeda, Rio de Janeiro, Brazil",-22.4158475,-42.9568888,4
Bottega 73 Bistrô,Flamengo,"Rua Paissandu, 73. FlamengoRio de Janeiro",Contemporânea,"Rua Paissandu, Rio de Janeiro, Brazil",-22.790174,-43.5391966,3
Brewteco (Gávea),Gávea,"Praça Santos Dumont, 106. GáveaRio de Janeiro",Comida de boteco,"Praça Santos Dumont, Rio de Janeiro, Brazil",-22.50146455,-44.07522764529055,3
Brewteco (Lapa),Centro,"Rua do Rezende, 38. CentroRio de Janeiro",Comida de boteco,"Rua do Rezende, Rio de Janeiro, Brazil",-22.9132194,-43.1862026,1
Brewteco (Leblon),Leblon,"Rua Dias Ferreira, 42. LeblonRio de Janeiro",Comida de boteco,"Rua Dias Ferreira, Rio de Janeiro, Brazil",-22.7955341,-43.0269272,3
Brewteco (Rosas),Barra da Tijuca,"Av. Marechal Henrique Lott, 120. Barra da TijucaRio de Janeiro",Comida de boteco,"Avenida Marechal Henrique Lott, Rio de Janeiro, Brazil",-23.001451,-43.3481247,5
Brewteco (Rua do Rio),Del Castilho,"Av. Pastor Martin Luther King Jr., 126 - Loja 106. Del CastilhoRio de Janeiro",Comida de boteco,"Avenida Pastor Martin Luther King Jr., Rio de Janeiro, Brazil",-22.875949,-43.2716793,3
Brewteco (Tijuca),Tijuca,"Av. Maracanã, 782. TijucaRio de Janeiro",Comida de boteco,"Avenida Maracanã, Rio de Janeiro, Brazil",-22.7513579,-43.4790872,1
Broto (Copacabana),Copacabana,"Rua Aires Saldanha, 13. CopacabanaRio de Janeiro",Pizzaria,"Rua Aires Saldanha, Rio de Janeiro, Brazil",-22.9781514,-43.1897066,5
Broto (Niterói),Icaraí,"Rua Nobrega, 90. IcaraíNiterói",Pizzaria,"Rua Nobrega, Rio de Janeiro, Brazil",-22.9027647,-43.1041081,2
Broto (São Francisco),São Francisco,"Av. Quintino Bocaiúva, 171. São FranciscoNiterói",Pizzaria,"Avenida Quintino Bocaiúva, Rio de Janeiro, Brazil",-22.9208954,-43.094487,3
Broto (Tijuca),Tijuca,"Rua Maj. Ávila, 456. TijucaRio de Janeiro",Pizzaria,"Rua Maj. Ávila, Rio de Janeiro, Brazil",-22.9238035,-43.232377,1
Broto Pizzaria (Botafogo),Botafogo,"Rua Álvaro Ramos, 171. BotafogoRio de Janeiro",Pizzaria,"Rua Álvaro Ramos, Rio de Janeiro, Brazil",-22.7046041,-43.4273632,2
Bráz Pizzaria (Lagoa),Jardim Botânico,"Rua Maria Angélica, 129. Jardim BotânicoRio de Janeiro",Pizzaria,"Rua Maria Angélica, Rio de Janeiro, Brazil",-22.7500808,-43.4110004,2
Bull Steak Bar,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Steakhouse,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,4
Bullguer (Tijuca),Tijuca,Av. Maracanã. TijucaRio de Janeiro,Hamburgueria,"Avenida Maracanã. TijucaRio de Janeiro, Rio de Janeiro, Brazil",-22.921946,-43.2354572,5
Burgers Rio (Botafogo),Botafogo,"Rua Voluntários da Pátria, 1. BotafogoRio de Janeiro",Hamburgueria,"Rua Voluntários da Pátria, Rio de Janeiro, Brazil",-22.4652689,-44.4673968,3
Burgers Rio (Ipanema),Ipanema,"Aníbal de Mendonça, 55. IpanemaRio de Janeiro",Hamburgueria,"Aníbal de Mendonça, Rio de Janeiro, Brazil",-22.9861685,-43.2115063,1
Caipi Café,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Brasileira,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894,4
Caju Gastrobar,Copacabana,"Praça Demétrio Ribeiro, 97. CopacabanaRio de Janeiro",Brasileira,"Praça Demétrio Ribeiro, Rio de Janeiro, Brazil",-22.96188405,-43.1756659352657,5
Calamares Cevicheria Restobar,Flamengo,"Rua Arno Konder S/N, loja P. FlamengoRio de Janeiro",Peruana,"Rua Arno Konder S/N, Rio de Janeiro, Brazil",-22.9305502,-43.1767537,4
Cam O'n Thai Food,Barra da Tijuca,"Av. das Américas, 500. Barra da TijucaRio de Janeiro",Tailandesa,"Avenida das Américas, Rio de Janeiro, Brazil",-23.0104884,-43.5308492,5
Cam O'n Thai Food (Botafogo),Humaitá,"Rua Visc. de Caravelas, 111. HumaitáRio de Janeiro",Tailandesa,"Rua Visc. de Caravelas, Rio de Janeiro, Brazil",-22.7950897,-43.0160423,5
Cantón,Copacabana,"Rua Rodolfo Dantas, 26. CopacabanaRio de Janeiro",Peruana,"Rua Rodolfo Dantas, Rio de Janeiro, Brazil",-22.7795525,-43.327658,3
Casa da Vila Artesanais,Centro,"Av. Felíciano Sodré, 488. CentroNiterói",Brasileira / Mediterrânea,"Avenida Felíciano Sodré, Rio de Janeiro, Brazil",-22.8807969,-43.1096894,5
